2026-02-11 02:25:57,566 [INFO] theta033_xy03_N301: progress: 23.29 %, estimated time: 6343.03 [sec]
2026-02-11 02:26:06,131 [INFO] theta033_xy03_N301: progress: 23.40 %, estimated time: 6332.07 [sec]
2026-02-11 02:26:15,081 [INFO] theta033_xy03_N301: progress: 23.51 %, estimated time: 6322.38 [sec]
2026-02-11 02:26:24,245 [INFO] theta033_xy03_N301: progress: 23.62 %, estimated time: 6313.39 [sec]
2026-02-11 02:26:33,148 [INFO] theta033_xy03_N301: progress: 23.73 %, estimated time: 6303.55 [sec]
2026-02-11 02:26:42,339 [INFO] theta033_xy03_N301: progress: 23.84 %, estimated time: 6294.65 [sec]
2026-02-11 02:26:51,502 [INFO] theta033_xy03_N301: progress: 23.95 %, estimated time: 6285.66 [sec]
2026-02-11 02:27:00,753 [INFO] theta033_xy03_N301: progress: 24.06 %, estimated time: 6276.94 [sec]
2026-02-11 02:27:09,602 [INFO] theta033_xy03_N301: progress: 24.17 %, estimated time: 6266.96 [sec]
2026-02-11 02:27:18,961 [INFO] theta033_xy03_N301: progress: 24.28 %, estimated time: 6258.57 [sec]
2026-02-11 02:27:27,755 [INFO] theta033_xy03_N301: progress: 24.39 %, estimated time: 6248.43 [sec]
2026-02-11 02:27:36,805 [INFO] theta033_xy03_N301: progress: 24.50 %, estimated time: 6239.09 [sec]
2026-02-11 02:27:46,322 [INFO] theta033_xy03_N301: progress: 24.61 %, estimated time: 6231.18 [sec]
2026-02-11 02:27:54,781 [INFO] theta033_xy03_N301: progress: 24.72 %, estimated time: 6220.03 [sec]
2026-02-11 02:28:04,275 [INFO] theta033_xy03_N301: progress: 24.83 %, estimated time: 6212.04 [sec]
2026-02-11 02:28:12,852 [INFO] theta033_xy03_N301: progress: 24.94 %, estimated time: 6201.28 [sec]
2026-02-11 02:28:21,919 [INFO] theta033_xy03_N301: progress: 25.05 %, estimated time: 6192.01 [sec]
2026-02-11 02:28:30,783 [INFO] theta033_xy03_N301: progress: 25.17 %, estimated time: 6182.13 [sec]
2026-02-11 02:28:39,645 [INFO] theta033_xy03_N301: progress: 25.28 %, estimated time: 6172.25 [sec]
2026-02-11 02:28:48,878 [INFO] theta033_xy03_N301: progress: 25.39 %, estimated time: 6163.48 [sec]
2026-02-11 02:28:57,507 [INFO] theta033_xy03_N301: progress: 25.50 %, estimated time: 6152.93 [sec]
2026-02-11 02:29:06,787 [INFO] theta033_xy03_N301: progress: 25.61 %, estimated time: 6144.30 [sec]
2026-02-11 02:29:15,617 [INFO] theta033_xy03_N301: progress: 25.72 %, estimated time: 6134.36 [sec]
2026-02-11 02:29:24,757 [INFO] theta033_xy03_N301: progress: 25.83 %, estimated time: 6125.31 [sec]
2026-02-11 02:29:33,923 [INFO] theta033_xy03_N301: progress: 25.94 %, estimated time: 6116.34 [sec]
